lattice-176
83,02310031222
76,02310113003
59,02132331312
52,02310201133
50,02310023310
48,02310011101
42,02310210301
42,02310033302
42,02310032311
42,02310011023
42,02132331231
38,02310103223
38,02310103213
38,02310021231
36,02311000022
36,02310300120
36,02310111303
35,02310101232
35,02310101121
34,02310103003
31,02310010023
27,02311022311
24,02310123012
23,02310032200
22,02310212112
22,02310012201
21,02310311010
21,02310110331
21,02310100131
20,02311202010
20,02310212031
20,02310132013
20,02132232131
18,02311022130
18,02311022120
18,02311022110
18,02310301122
18,02310011330
18,02132323302
18,02132233000
17,02310311223
17,02310310111
17,02310123222
17,02310101312
17,02310101310
16,02132232120
15,02310131302
15,02310123021
15,02310001033
14,02310130122
13,02132330222
13,02132321322
12,02310103313
12,02310010001
12,02132332213
11,02311000230
11,02132332101
10,02310313000
10,02310110222
10,02310032030
10,02133220232
9,02311200331
9,02310301112
9,02310213131
9,02310123121
9,02310123110
9,02310112120
9,02310031313
8,02310021003
8,02132320311
8,02132223321
8,02132223232
6,02132223010
6,02132223002
6,02132221320
lattice-177
86,02310210133
73,02310103013
72,02310122300
71,02310131000
49,02132233032
44,02311022222
43,02310211202
43,02310133203
43,02310023211
42,02310033201
42,02132333031
40,02310113223
40,02310113202
39,02311022212
38,02310311123
38,02310021322
38,02132332203
37,02310113103
36,02310113011
35,02310103010
35,02310021101
33,02310100023
25,02310313112
23,02310311131
23,02310023131
22,02310133033
22,02310110132
21,02310023101
21,02310023010
21,02310012321
21,02310012301
20,02311200230
20,02311000310
20,02310301213
20,02310121110
20,02310023123
20,02310010113
18,02311022033
18,02310310321
18,02310123302
18,02310120102
18,02310113323
18,02310001103
18,02132231232
17,02310302011
17,02310120001
17,02310003132
17,02310003121
17,02132323022
16,02311022332
16,02310132330
16,02310103220
15,02132231312
14,02310130123
14,02310032233
14,02310032232
14,02132223023
13,02132323110
13,02132321301
12,02310122003
12,02310103131
12,02310100321
12,02132332302
11,02310213100
11,02310030032
11,02132332113
11,02132232213
11,02132231211
10,02310110200
10,02310032100
10,02310032023
10,02133222112
9,02311202031
9,02310310312
9,02310301130
9,02310301120
9,02310123133
8,02310121300
8,02310102312
8,02310102201
8,02310003022
lattice-178
62,02132233123
49,02132233201
46,02310033310
43,02310023200
42,02310010133
42,02132333010
41,02310012003
40,02310110032
40,02310011231
39,02310133202
38,02310311023
36,02310300323
36,02310111312
35,02310102002
30,02132322023
29,02310111311
24,02310012223
23,02310032213
23,02310023113
22,02310133001
22,02310110131
22,02310033101
21,02310311121
21,02310311012
21,02310211302
21,02310031333
21,02310030232
20,02310132112
20,02310023032
20,02310011013
20,02310011002
20,02132232333
18,02310113321
18,02132231300
18,02132230333
17,02310311321
17,02310311302
17,02310300113
17,02310120011
17,02310120010
17,02310101222
17,02310031111
17,02310003300
16,02310201201
16,02133222202
16,02132232021
15,02132233110
15,02132231313
14,02310210011
12,02310210232
12,02310210202
12,02310210201
12,02310122011
12,02132332231
12,02132230301
11,02311000223
11,02310030300
10,02310032012
10,02310010231
9,02311002203
9,02310120023
9,02310120003
9,02310112230
8,02310102212
8,02132223322
8,02132223231
8,02132223213
7,02310001300
7,02310001231
7,02310001223
6,02132223013
lattice-179
109,02310013103
83,02310033212
79,02311200022
75,02310031100
61,02132223311
45,02310211020
44,02311200020
42,02310033033
40,02310103322
40,02310012131
39,02310031103
38,02132233320
37,02310300133
37,02310131332
36,02310113112
36,02310111233
35,02310101211
35,02310001132
34,02310301032
34,02310130321
34,02310101011
33,02132233103
32,02310010312
31,02310131200
31,02310012330
24,02310210100
24,02310030103
23,02310032300
22,02310211030
22,02310133030
22,02310133021
22,02310123030
22,02310103130
22,02310012200
21,02311002303
21,02310100133
21,02310030230
21,02310023000
20,02310132101
20,02310112132
20,02310110201
20,02132332232
19,02311020312
19,02310300031
19,02310021132
19,02310010213
18,02310100222
18,02310021203
18,02132323312
17,02310311322
17,02310121320
17,02310101311
17,02310001310
17,02132233312
16,02311022331
16,02310310100
16,02310130011
15,02310311313
14,02310210002
13,02132321233
12,02310210222
12,02310103312
12,02310100330
12,02132230320
11,02132332110
10,02310301321
9,02310312101
9,02310303021
9,02310303002
9,02310123100
9,02310120203
9,02132323202
8,02310121303
8,02310001001
lattice-180
78,02310111122
78,02310111032
59,02132333113
58,02310011321
49,02310030332
48,02132230312
43,02310210121
43,02310133303
42,02310212121
42,02310210303
42,02310033030
41,02311200122
41,02310033221
41,02310031031
41,02310031022
41,02310030313
40,02310113233
40,02310110030
40,02310032321
40,02310013100
39,02310030111
37,02310120323
36,02310300102
36,02310111221
34,02310013223
